,a_CT,a_TA,Ps,F0,SPL
0,0.0,0.0,10.0,69.34812760055479,21.127648448839153
1,0.02,0.0,10.0,69.44444444444444,20.522987991681568
2,0.04,0.0,10.0,70.12622720897616,20.24208343611281
3,0.06,0.0,10.0,71.22507122507122,19.741583282182496
4,0.08,0.0,10.0,73.09941520467837,20.92681171485863
5,0.1,0.0,10.0,74.6268656716418,20.40865020291003
6,0.12,0.0,10.0,75.3012048192771,19.437717052872074
7,0.14,0.0,10.0,75.642965204236,19.092783282769282
8,0.16,0.0,10.0,76.10350076103501,18.718543014427997
9,0.18,0.0,10.0,76.68711656441718,18.155988868404357
10,0.2,0.0,10.0,77.51937984496124,17.444342497870426
11,0.22,0.0,10.0,78.74015748031496,16.634122550754434
12,0.24,0.0,10.0,80.38585209003216,15.823081268969872
13,0.26,0.0,10.0,82.37232289950576,15.07950266578112
14,0.28,0.0,10.0,85.03401360544218,14.418869749364283
15,0.3,0.0,10.0,88.02816901408451,13.845529071770544
16,0.32,0.0,10.0,91.57509157509158,13.33781860761544
17,0.34,0.0,10.0,95.41984732824427,12.892025544153327
18,0.36,0.0,10.0,100.0,12.497086574630279
19,0.38,0.0,10.0,105.04201680672269,12.150663638760388
20,0.4,0.0,10.0,110.37527593818984,11.84626232777485
21,0.42,0.0,10.0,116.55011655011656,11.575311598448339
22,0.44,0.0,10.0,123.15270935960591,11.326661540520227
23,0.46,0.0,10.0,130.20833333333334,11.08638732708014
24,0.48,0.0,10.0,138.12154696132598,10.837905266961714
25,0.5,0.0,10.0,146.6275659824047,10.560891358026867
26,0.52,0.0,10.0,155.76323987538942,10.237523160158169
27,0.54,0.0,10.0,165.56291390728478,9.853796004709771
28,0.56,0.0,10.0,176.05633802816902,9.407646971220883
29,0.5800000000000001,0.0,10.0,187.9699248120301,8.910164987466834
30,0.6,0.0,10.0,200.0,8.376580111408305
31,0.62,0.0,10.0,213.67521367521368,7.816947112153059
32,0.64,0.0,10.0,228.31050228310502,7.228012166951637
33,0.6599999999999999,0.0,10.0,243.90243902439025,6.594255446596517
34,0.6799999999999999,0.0,10.0,260.4166666666667,5.897231894770435
35,0.7,0.0,10.0,277.77777777777777,5.1228001111834045
36,0.72,0.0,10.0,297.6190476190476,4.2654113838676295
37,0.74,0.0,10.0,318.47133757961785,3.328005935617095
38,0.76,0.0,10.0,340.13605442176873,2.3201806694389777
39,0.78,0.0,10.0,364.963503649635,1.2556776793503885
40,0.8,0.0,10.0,390.625,0.14994977304548587
41,0.8200000000000001,0.0,10.0,420.16806722689074,-0.9818563657663869
42,0.84,0.0,10.0,450.45045045045043,-2.1262728112355886
51,0.0,0.02,10.0,86.50519031141869,22.23244462626964
52,0.02,0.02,10.0,85.91065292096219,21.244408183012638
53,0.04,0.02,10.0,84.7457627118644,20.180958025684262
54,0.06,0.02,10.0,85.47008547008546,19.92386453462156
55,0.08,0.02,10.0,86.50519031141869,19.70717048326532
56,0.1,0.02,10.0,87.71929824561404,19.769256752253142
57,0.12,0.02,10.0,88.65248226950355,19.767867340049897
58,0.14,0.02,10.0,89.60573476702508,19.366513941223836
59,0.16,0.02,10.0,91.40767824497257,20.050637111185328
60,0.18,0.02,10.0,93.10986964618249,20.033407096283845
61,0.2,0.02,10.0,94.87666034155598,19.181520834854247
62,0.22,0.02,10.0,95.60229445506693,18.594406358912213
63,0.24,0.02,10.0,96.89922480620154,18.282603639242858
64,0.26,0.02,10.0,98.23182711198429,17.816153117754325
65,0.28,0.02,10.0,100.0,17.26193749222208
66,0.3,0.02,10.0,101.83299389002036,16.535456081391192
67,0.32,0.02,10.0,103.95010395010395,15.557030686106781
68,0.34,0.02,10.0,106.83760683760684,14.642256770495962
69,0.36,0.02,10.0,110.13215859030836,13.835741638390823
70,0.38,0.02,10.0,113.89521640091117,13.16523902368527
71,0.4,0.02,10.0,118.48341232227489,12.605458207168494
72,0.42,0.02,10.0,123.45679012345678,12.11725807802463
73,0.44,0.02,10.0,128.8659793814433,11.675733178798467
74,0.46,0.02,10.0,135.13513513513513,11.261267483954898
75,0.48,0.02,10.0,142.04545454545453,10.853397143756167
76,0.5,0.02,10.0,149.2537313432836,10.436250978216943
77,0.52,0.02,10.0,157.72870662460568,9.995937790799736
