,a_CT,a_TA,PL,Ps,F0,SPL
0,0.025,0.025,500,448.003175221009,112.64367816092,69.4332864896314
1,0.025,0.025,550,501.449120735268,118.389261744966,72.672915756381
2,0.025,0.025,600,553.861773092904,122.755741127349,75.573782984274
3,0.025,0.025,650,604.359931796221,126.451612903226,78.287517443929
4,0.025,0.025,700,649.345934384455,129.610580455547,80.334922545797
5,0.025,0.025,750,704.727571963002,132.432432432432,82.555373069547
6,0.025,0.025,800,747.261554961153,135.068912710567,84.35529753725
7,0.025,0.025,850,803.157812172852,137.597503900156,86.384596141401
8,0.025,0.025,900,849.427998548043,139.888977002379,88.147685363933
9,0.025,0.025,950,905.443023921241,142.028985507246,89.724966099151
10,0.025,0.025,1000,944.828595816907,144.0,90.859117782103
11,0.025,0.025,1050,992.794262824623,145.90570719603,91.836498626035
12,0.025,0.025,1100,1049.88231334288,147.862531433361,92.653516888231
13,0.025,0.025,1150,1097.22118699027,149.74533106961,93.262491836944
14,0.025,0.025,1200,1144.43489215414,151.546391752577,93.781922402296
15,0.025,0.025,1250,1192.44143637482,153.258036490009,94.376717128238
16,0.025,0.025,1300,1244.33517083697,155.145118733509,95.03988206083
17,0.025,0.025,1350,1299.44784944337,156.660746003552,95.532875176139
18,0.025,0.025,1400,1345.87009710805,158.206278026906,96.007117832202
19,0.025,0.025,1450,1394.57784186557,159.782608695652,96.58106623278
20,0.025,0.025,1500,1442.05311232972,161.095890410959,97.144033625767
21,0.025,0.025,1550,1497.59465510769,162.430939226519,97.76387257439
22,0.025,0.025,1600,1549.48036039381,163.636363636364,98.18557933522601
23,0.025,0.025,1650,1585.54402378808,164.859813084112,98.63752457924
24,0.025,0.025,1700,1632.47760080919,165.945437441204,99.154783058987
25,0.025,0.025,1750,1694.90469925684,167.045454545455,99.68216495943699
26,0.025,0.025,1800,1741.59214224916,168.0,100.02925517037099
27,0.025,0.025,1850,1787.43940363447,168.965517241379,100.42331258420299
28,0.025,0.025,1900,1838.49426761616,169.942196531792,100.73984268992001
29,0.025,0.025,1950,1887.26535860513,170.764762826718,101.039980856038
30,0.025,0.025,2000,1938.23814501672,171.762414800389,101.273714387571
31,0.25,0.025,500,450.119702191101,183.177570093458,62.513880457936196
32,0.25,0.025,550,501.352281202458,191.115926327194,67.3346600168925
33,0.25,0.025,600,554.860807368315,199.547511312217,71.811863010744
34,0.25,0.025,650,610.280057751844,207.529411764706,76.200401695293
35,0.25,0.025,700,668.025619451003,214.077669902913,80.631222537853
36,0.25,0.025,750,721.54573084007,219.402985074627,84.238746337155
37,0.25,0.025,800,774.596093170938,223.857868020305,86.971745252496
38,0.25,0.025,850,833.369973371163,227.612903225806,88.95816071433
39,0.25,0.025,900,887.550869756411,230.890052356021,90.52582775005
40,0.25,0.025,950,937.130062893003,233.95225464191,91.786600706541
41,0.25,0.025,1000,996.28529126779,236.778523489933,93.051871388918
42,0.25,0.025,1050,1045.70057994713,239.348710990502,94.213482188818
43,0.25,0.025,1100,1098.02729551239,241.643835616438,95.347814649834
44,0.25,0.025,1150,1157.84763022007,243.983402489627,96.444255912868
45,0.25,0.025,1200,1198.81999664913,246.368715083799,97.413669714084
46,0.25,0.025,1250,1258.27394173975,248.450704225352,98.24899324484801
47,0.25,0.025,1300,1308.61126157956,250.568181818182,98.946795236523
48,0.25,0.025,1350,1366.35400879982,252.722063037249,99.63574989402699
49,0.25,0.025,1400,1412.33368507708,254.545454545455,100.138038797223
50,0.25,0.025,1450,1469.18654202773,256.395348837209,100.78637067627301
51,0.25,0.025,1500,1518.88309231143,257.894736842105,101.33475742421501
52,0.25,0.025,1550,1570.65953460327,259.411764705882,101.88084616253099
53,0.25,0.025,1600,1620.46539090282,260.94674556213,102.354665813341
54,0.25,0.025,1650,1680.35691247158,262.5,102.86886898597501
55,0.25,0.025,1700,1734.51552874756,263.677130044843,103.228291511109
56,0.25,0.025,1750,1773.58748315929,265.263157894737,103.620780695011
57,0.25,0.025,1800,1828.14580100841,266.465256797583,104.08609845219999
58,0.25,0.025,1850,1887.41333637511,267.678300455235,104.42514248194101
59,0.25,0.025,1900,1939.00926095174,268.493150684931,104.768601470032
60,0.25,0.025,1950,1990.66272741627,269.724770642202,105.15925872547399
61,0.25,0.025,2000,2041.79590295483,270.552147239264,105.504428366756
62,0.5,0.075,500,501.332145278167,258.272327964861,82.091820722446
63,0.5,0.075,550,556.902662552869,263.677130044843,85.82681947346
64,0.5,0.075,600,606.103274222701,267.678300455235,88.637583866668
65,0.5,0.075,650,660.176976909058,270.967741935484,90.982375353553
66,0.5,0.075,700,714.009593468898,273.913043478261,92.773431262836
67,0.5,0.075,750,761.659806874222,276.056338028169,94.311138004326
68,0.5,0.075,800,819.30604251668,278.233438485804,95.57342420246
69,0.5,0.075,850,870.326261919174,280.0,96.603290103304
70,0.5,0.075,900,922.082719068202,281.789137380192,97.474086656042
71,0.5,0.075,950,973.587884037741,283.14606741573,98.22212753980699
72,0.5,0.075,1000,1027.93380945352,284.516129032258,98.84209341290199
73,0.5,0.075,1050,1082.87960146159,285.899513776337,99.40487159198699
74,0.5,0.075,1100,1136.26785739523,287.296416938111,99.95607187307999
75,0.5,0.075,1150,1184.37228136486,288.707037643208,100.422670667684
76,0.5,0.075,1200,1240.1536152732,290.131578947368,100.84338039329899
77,0.5,0.075,1250,1295.19673614052,291.570247933884,101.289291888295
78,0.5,0.075,1300,1343.55344682607,292.537313432836,101.60956179930099
79,0.5,0.075,1350,1405.19989386839,294.0,102.01613295863999
80,0.5,0.075,1400,1456.58886907871,295.477386934673,102.379033002559
81,0.5,0.075,1450,1507.98246168022,296.969696969697,102.707195059057
82,0.5,0.075,1500,1559.10033032541,298.477157360406,102.997694629537
83,0.5,0.075,1550,1612.06267805987,300.0,103.336441441962
84,0.5,0.075,1600,1664.52710028545,302.054794520548,103.61268141594499
85,0.5,0.075,1650,1711.78451014964,303.614457831325,103.928855921684
86,0.5,0.075,1700,1766.65897595211,305.190311418685,104.31566340669599
87,0.5,0.075,1750,1826.26792749884,307.317073170732,104.61046776225999
88,0.5,0.075,1800,1870.86929773366,308.391608391608,104.944469340669
89,0.5,0.075,1850,1927.47605026941,310.017574692443,105.297329657603
90,0.5,0.075,1900,1977.2376000061,311.660777385159,105.640882372113
91,0.5,0.075,1950,2038.67630855383,313.321492007105,105.96606588498699
92,0.5,0.075,2000,2078.80138367801,314.438502673797,106.33369151665099
117,1.0,0.625,1050,1155.14979188585,279.113924050633,75.351542906695
118,1.0,0.625,1100,1207.67857579951,280.891719745223,77.478256077652
119,1.0,0.625,1150,1260.65896157201,282.692307692308,79.500967049606
120,1.0,0.625,1200,1313.56000944756,283.601286173633,81.315733910213
121,1.0,0.625,1250,1365.67096402759,284.057971014493,82.964623962823
122,1.0,0.625,1300,1417.48149430892,284.516129032258,84.496394935232
123,1.0,0.625,1350,1472.42204430576,284.975767366721,85.883341894286
124,1.0,0.625,1400,1522.4797806325,285.436893203883,87.145535680143
125,1.0,0.625,1450,1574.65604076785,285.436893203883,88.256539574605
126,1.0,0.625,1500,1626.6117075104,285.436893203883,89.206217672546
127,1.0,0.625,1550,1677.28845907751,285.899513776337,90.151240870832
128,1.0,0.625,1600,1729.24980548556,286.363636363636,91.019102270469
129,1.0,0.625,1650,1788.30174659245,267.272727272727,91.986633833601
130,1.0,0.625,1700,1843.52420477552,257.894736842105,92.442689177331
131,1.0,0.625,1750,1894.72466018579,260.176991150442,93.134228468399
132,1.0,0.625,1800,1947.91091552199,259.411764705882,93.512930438542
133,1.0,0.625,1850,2003.21124369997,262.891207153502,94.074154441375
134,1.0,0.625,1900,2052.44534880846,262.5,94.571297770808
135,1.0,0.625,1950,2105.24398059741,264.071856287425,95.030377365114
136,1.0,0.625,2000,2157.70621275771,272.642967542504,95.392770730929
159,0.025,0.65,800,858.146302867914,81.7044928207503,91.220121060017
160,0.025,0.65,850,909.786668568429,83.0899670277909,91.734523192452
161,0.025,0.65,900,968.695984036246,84.7262247838617,92.735885911674
162,0.025,0.65,950,1018.53534358378,85.8812074001947,92.81321480331
163,0.025,0.65,1000,1075.42050827588,87.6304023845007,93.637818891986
164,0.025,0.65,1050,1130.62736524712,88.9561270801815,94.075850277591
165,0.025,0.65,1100,1184.73356578419,90.6009244992296,94.590754300269
166,0.025,0.65,1150,1240.87299952589,91.6363636363636,95.033838500561
167,0.025,0.65,1200,1298.35703531812,92.7932667017359,95.770831111801
168,0.025,0.65,1250,1347.79046316223,94.08,96.033200129095
169,0.025,0.65,1300,1405.53841471337,94.940796555436,96.522696559868
170,0.025,0.65,1350,1457.14477005226,95.8695652173913,96.501874218017
171,0.025,0.65,1400,1512.55252207967,96.7635765222161,97.09976436816
172,0.025,0.65,1450,1567.84322324103,97.5663716814159,97.426278720043
173,0.025,0.65,1500,1622.19161444077,98.8789237668161,97.870663681671
174,0.025,0.65,1550,1676.50138306621,99.4363021420519,98.20585836753699
175,0.025,0.65,1600,1726.76548507054,100.570125427594,98.56864403289401
176,0.025,0.65,1650,1779.05789666348,101.554404145078,98.946858814085
177,0.025,0.65,1700,1832.51702584437,104.378698224852,99.888402595597
178,0.025,0.65,1750,1888.05769706696,104.87514863258,99.711867505165
179,0.025,0.65,1800,1939.03049579837,105.755395683453,100.349320312992
180,0.025,0.65,1850,1970.35133633874,109.361438313701,101.133062360716
181,0.025,0.65,1900,2028.12754274291,112.071156289708,101.43531714599001
182,0.025,0.65,1950,2076.31309173549,109.633312616532,101.539714898619
183,0.025,0.65,2000,2140.36770322532,113.586606567933,101.935385702741
206,0.05,0.65,750,802.459715592355,80.2182810368349,90.571422907131
207,0.05,0.65,800,858.113106106667,81.8561484918794,91.41232533938
208,0.05,0.65,850,906.621494602975,83.3648393194707,91.896013903146
209,0.05,0.65,900,967.357668038935,84.8893166506256,92.575798561134
210,0.05,0.65,950,1019.77618061887,86.1328125,93.326322382688
211,0.05,0.65,1000,1074.27185401793,87.8486055776892,93.837951567702
212,0.05,0.65,1050,1130.8619273647,89.4977168949772,94.280348700375
213,0.05,0.65,1100,1184.93948368423,90.9278350515464,94.776134866558
214,0.05,0.65,1150,1237.23847788597,91.9228764981761,95.176538008669
215,0.05,0.65,1200,1293.71447178853,93.4322033898305,95.67054986652
216,0.05,0.65,1250,1345.0265491524,94.4325481798715,95.912029286289
217,0.05,0.65,1300,1404.72916782697,95.4029204975663,96.45690514805
218,0.05,0.65,1350,1453.53071552151,96.3407973784817,96.610463465587
219,0.05,0.65,1400,1514.38280417055,97.3509933774834,97.315662342853
220,0.05,0.65,1450,1566.63661748282,98.2182628062361,97.666167139231
221,0.05,0.65,1500,1622.74450192458,99.1568296795953,98.040085782174
222,0.05,0.65,1550,1676.12029528098,100.570125427594,98.384614439214
223,0.05,0.65,1600,1734.32923534609,101.730103806228,98.981490389589
224,0.05,0.65,1650,1785.27187623755,102.61780104712,99.246862587919
225,0.05,0.65,1700,1840.2389828581,103.764705882353,99.798666387369
226,0.05,0.65,1750,1898.82439607376,105.56552962298,100.178554179278
227,0.05,0.65,1800,1943.18637690169,106.521739130435,100.45835006910099
228,0.05,0.65,1850,1993.1019731059,109.293680297398,100.89112841784501
229,0.05,0.65,1900,2050.38370404894,109.769757311761,101.26581583232499
230,0.05,0.65,1950,2092.67371493244,109.701492537313,101.670747538549
231,0.05,0.65,2000,2151.68304976409,114.396887159533,102.21189958219901
254,0.075,0.65,750,800.643522217064,80.4744525547445,90.744093195845
255,0.075,0.65,800,856.376743660293,81.9702602230483,91.485507687336
256,0.075,0.65,850,910.134506030379,83.8004750593824,92.4072053438
257,0.075,0.65,900,962.172977006413,85.2585790236829,92.68603454501
258,0.075,0.65,950,1019.94710584597,86.7683226758485,93.622923541724
259,0.075,0.65,1000,1072.87079884814,88.3324987481222,94.056819378946
260,0.075,0.65,1050,1129.95603518706,89.6797153024911,94.544416007643
261,0.075,0.65,1100,1184.54656704742,91.2571132953958,95.08973197113
262,0.075,0.65,1150,1233.57033897229,92.8421052631579,95.347838808284
263,0.075,0.65,1200,1293.40609440178,93.6305732484076,96.038977955873
264,0.075,0.65,1250,1347.37348977176,94.8387096774194,96.074576594121
265,0.075,0.65,1300,1402.74723592579,95.9216965742251,96.498485637202
266,0.075,0.65,1350,1455.21397727042,96.976360637713,97.002833331333
267,0.075,0.65,1400,1513.19153833931,97.9455857856746,97.51170683956
268,0.075,0.65,1450,1567.26286462199,98.8789237668161,97.87829713793
269,0.075,0.65,1500,1619.10022645707,100.11350737798,98.239715918613
270,0.075,0.65,1550,1675.25788280967,100.973096737264,98.680298093191
271,0.075,0.65,1600,1728.75137208094,102.558139534884,99.05006626988501
272,0.075,0.65,1650,1783.43720549926,103.581914268937,99.34507496420301
273,0.075,0.65,1700,1840.38131952004,104.93753718025,99.81086301784401
274,0.075,0.65,1750,1886.05953958413,105.62874251497,100.03057488109701
275,0.075,0.65,1800,1946.15312094617,106.909090909091,100.61142467266001
276,0.075,0.65,1850,1990.63504696581,107.823960880196,100.84024580227
277,0.075,0.65,1900,2050.64300304904,109.361438313701,101.274794470588
278,0.075,0.65,1950,2097.48443650652,110.457107075767,101.512451371422
279,0.075,0.65,2000,2141.57034932388,112.428298279159,102.08041230207101
302,0.1,0.65,750,798.597457226026,80.7322654462243,90.979139249422
303,0.1,0.65,800,855.122738211721,82.2761194029851,91.6769528192
304,0.1,0.65,850,912.527946627437,83.8801711840228,92.747484638186
305,0.1,0.65,900,958.900830767522,85.8812074001947,92.897298283493
306,0.1,0.65,950,1021.32352773473,87.456618740704,93.856643273627
307,0.1,0.65,1000,1070.68147646795,88.9561270801815,94.335792717473
308,0.1,0.65,1050,1127.73802554795,90.230179028133,94.799048767731
309,0.1,0.65,1100,1177.57120856308,91.6363636363636,95.204925121715
310,0.1,0.65,1150,1236.88137469478,93.4817170111288,95.711442388273
311,0.1,0.65,1200,1295.51128712337,94.4831280128548,96.334474744534
312,0.1,0.65,1250,1345.02733080948,95.9216965742251,96.599351589554
313,0.1,0.65,1300,1397.02850768574,96.8698517298188,96.648367563473
314,0.1,0.65,1350,1456.03489868761,97.6744186046512,97.279170013191
315,0.1,0.65,1400,1513.50108323373,98.9343802579921,97.738632946701
316,0.1,0.65,1450,1565.39165771474,99.830220713073,98.137464119524
317,0.1,0.65,1500,1619.60416454434,101.146788990826,98.510689763197
318,0.1,0.65,1550,1673.24620158415,102.142443543717,98.847639124789
319,0.1,0.65,1600,1720.7780642418,103.764705882353,99.216232723368
320,0.1,0.65,1650,1781.2442131898,104.750593824228,99.82585180092201
321,0.1,0.65,1700,1841.80503592138,105.818836232753,100.209093876319
322,0.1,0.65,1750,1897.68246073573,106.201083684527,100.49461295717799
323,0.1,0.65,1800,1946.89516999627,107.560975609756,100.78247274705399
324,0.1,0.65,1850,2000.7576430587,108.754623921085,100.98703795429199
325,0.1,0.65,1900,2048.49351627098,109.97506234414,101.375580414171
326,0.1,0.65,1950,2103.04245108711,111.153119092628,101.60229081419001
327,0.1,0.65,2000,2148.62388484578,111.716276124129,101.790959822713
351,0.125,0.65,750,798.397820478043,81.2528788576693,91.276496873205
352,0.125,0.65,800,846.625868933988,83.0117647058824,91.885026466603
353,0.125,0.65,850,908.02904663312,84.6043165467626,92.652013280566
354,0.125,0.65,900,963.236277115386,86.4282214600686,93.591618595674
355,0.125,0.65,950,1015.62457364921,87.8486055776892,93.797749643167
356,0.125,0.65,1000,1069.39015387043,89.3164556962025,94.608797477664
357,0.125,0.65,1050,1126.24038268716,91.4463452566096,95.230800172721
358,0.125,0.65,1100,1185.26840593087,92.4528301886792,95.884136489711
359,0.125,0.65,1150,1236.4696834387,93.8297872340426,95.96448322372
360,0.125,0.65,1200,1291.41728043798,95.609756097561,96.487475023159
361,0.125,0.65,1250,1347.58469290031,96.6575342465753,96.919405402096
362,0.125,0.65,1300,1399.16768385616,97.9455857856746,97.240222773144
363,0.125,0.65,1350,1457.72608475745,99.2684299380979,97.671788559232
364,0.125,0.65,1400,1508.06701103658,100.341296928328,98.04688640116501
365,0.125,0.65,1450,1564.43238014006,101.379310344828,98.41991595396999
366,0.125,0.65,1500,1612.06988253989,102.67753201397,98.77479830904699
367,0.125,0.65,1550,1670.10771120642,103.460410557185,99.325291651264
368,0.125,0.65,1600,1722.58884902315,104.626334519573,99.493116248641
369,0.125,0.65,1650,1779.46839248406,105.755395683453,100.04434883568601
370,0.125,0.65,1700,1833.65850634299,106.586102719033,100.39411038542701
371,0.125,0.65,1750,1889.75991887091,107.495429616088,100.66986192731699
372,0.125,0.65,1800,1945.13077981949,108.821714990746,100.921321218283
373,0.125,0.65,1850,1995.99596349371,109.701492537313,101.11857889890601
374,0.125,0.65,1900,2045.51863532905,111.013215859031,101.384113518612
375,0.125,0.65,1950,2096.37256071926,111.716276124129,101.60175085115699
376,0.125,0.65,2000,2159.6360371927,112.571793235482,101.88656328865699
402,0.15,0.65,700,742.135992476893,81.1780947998159,90.75171265846
403,0.15,0.65,750,792.893352857976,83.3254605573925,91.345987557778
404,0.15,0.65,800,851.214070875894,85.053037608486,92.227863838291
405,0.15,0.65,850,902.911207122881,86.8965517241379,93.194086341198
406,0.15,0.65,900,957.915223758427,88.598694123556,93.738600661414
407,0.15,0.65,950,1011.75952051715,90.3225806451613,94.390705745878
408,0.15,0.65,1000,1068.63660429252,92.0668058455115,94.98378039042
409,0.15,0.65,1050,1118.70507166799,93.3827421916358,95.436613146207
410,0.15,0.65,1100,1175.56552951423,94.8897256589564,96.144899286245
411,0.15,0.65,1150,1238.01291147918,96.6575342465753,96.60279743525
412,0.15,0.65,1200,1284.81712652875,98.4924623115578,96.946083394773
413,0.15,0.65,1250,1340.36396318952,100.170357751278,97.37861289583
414,0.15,0.65,1300,1400.70486324792,101.730103806228,97.890801252118
415,0.15,0.65,1350,1451.19265703761,103.097603740503,98.42194553661301
416,0.15,0.65,1400,1503.23257889709,104.316972205795,98.693188757955
417,0.15,0.65,1450,1558.86498264531,105.062537224538,99.14615752311599
418,0.15,0.65,1500,1611.22076486099,106.457453228727,99.48108544092901
419,0.15,0.65,1550,1674.88304511614,107.823960880196,99.79604658745899
420,0.15,0.65,1600,1722.60153521908,109.293680297398,100.056548668711
421,0.15,0.65,1650,1774.82108450247,110.31894934334,100.42779636023701
422,0.15,0.65,1700,1830.61472885637,111.153119092628,100.58809448160801
423,0.15,0.65,1750,1886.6152432206,112.356687898089,100.83471197711
424,0.15,0.65,1800,1940.88748751746,113.076923076923,101.101330994155
425,0.15,0.65,1850,1993.51891084361,114.545454545455,101.63258277866001
426,0.15,0.65,1900,2049.00929395983,115.369522563767,101.94567166225599
427,0.15,0.65,1950,2101.86041638742,116.358839050132,102.12567838140501
428,0.15,0.65,2000,2163.28498085662,117.365269461078,102.54954544072501
457,0.175,0.65,600,631.432152384418,81.59111933395,88.751993172744
458,0.175,0.65,650,688.938962810497,83.8004750593824,90.125861978504
459,0.175,0.65,700,741.181519862487,85.5065438681532,90.659490793676
460,0.175,0.65,750,798.316755754078,87.6739562624254,91.821916584158
461,0.175,0.65,800,849.19660319641,89.5431472081218,92.522456425269
462,0.175,0.65,850,900.586499698188,91.35163127913,93.18227202968
463,0.175,0.65,900,954.999381059457,93.1854199683043,93.865849347042
464,0.175,0.65,950,1016.31083492113,94.9919224555735,94.834250739308
465,0.175,0.65,1000,1060.55442942221,96.551724137931,94.979790774281
466,0.175,0.65,1050,1118.46865249826,98.5474860335195,95.861897091986
467,0.175,0.65,1100,1172.73333676023,100.341296928328,96.331728653335
468,0.175,0.65,1150,1228.44145557847,102.201622247972,96.91882552697
469,0.175,0.65,1200,1274.87574407171,103.581914268937,97.253104620264
470,0.175,0.65,1250,1335.46987286497,105.313432835821,97.797861324039
471,0.175,0.65,1300,1395.66435880177,106.844336765597,98.43691631449201
472,0.175,0.65,1350,1444.79302153897,107.889908256881,98.64116808854499
473,0.175,0.65,1400,1497.16220328704,108.956145768993,98.924052729679
474,0.175,0.65,1450,1554.83042519989,110.664993726474,99.25652067223399
475,0.175,0.65,1500,1609.97950059106,111.928934010152,99.842203021541
476,0.175,0.65,1550,1669.36160908399,112.787723785166,100.20142327897
477,0.175,0.65,1600,1717.16096242553,114.100905562743,100.22816688009499
478,0.175,0.65,1650,1766.28074713284,115.520628683694,100.462236770565
479,0.175,0.65,1700,1820.82849257594,115.900131406045,100.791324574286
480,0.175,0.65,1750,1885.97972925479,117.678452301534,101.38894696435699
